xa_id,ten_day_du,loai,stt_nq,lat,lon,ffpi,sz_lat,sz_lon,sz_ten,so_diem_do,trang_thai,hop_thanh_tu,nguon_toa_do,do_tin_cay
muong_nhe,Xã Mường Nhé,xa,1,22.2642,102.3732,,22.1946,102.4534,Trường Trung học cơ sở Mường Nhé,3,active,Nậm Vì + Chung Chải + Mường Nhé,OSM:ten_moi,OSM tên mới — nên kiểm lại
sin_thau,Xã Sín Thầu,xa,2,22.3758,102.2540,,22.3742,102.2519,Trường Trung học cơ sở Sín Thầu,3,active,Sen Thượng + Leng Su Sìn + Sín Thầu,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_toong,Xã Mường Toong,xa,3,22.1575,102.5725,,,,chưa tìm được — hỏi cán bộ xã,2,active,Huổi Lếch + Mường Toong,OSM:ten_moi,OSM tên mới — nên kiểm lại
nam_ke,Xã Nậm Kè,xa,4,22.0620,102.5144,,22.1915,102.4606,Bưu điện huyện Mường Nhé,2,active,Pá Mỳ + Nậm Kè,OSM:ten_moi,OSM tên mới — nên kiểm lại
quang_lam,Xã Quảng Lâm,xa,5,21.9860,102.6032,,,,chưa tìm được — hỏi cán bộ xã,2,active,Na Cô Sa + Quảng Lâm,OSM:ten_moi,OSM tên mới — nên kiểm lại
na_hy,Xã Nà Hỳ,xa,6,21.8333,102.7326,,,,chưa tìm được — hỏi cán bộ xã,4,active,Nà Khoa + Nậm Nhừ + Nậm Chua + Nà Hỳ,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_cha,Xã Mường Chà,xa,7,21.8273,103.1428,,21.7646,103.0942,Trường tiểu học thị trấn Mường Chà,4,active,Chà Cang + Chà Nưa + Nậm Tin + Pa Tần,OSM:ten_moi,OSM tên mới — nên kiểm lại
na_bung,Xã Nà Bủng,xa,8,21.7258,102.7160,,,,chưa tìm được — hỏi cán bộ xã,2,active,Vàng Đán + Nà Bủng,OSM:ten_moi,OSM tên mới — nên kiểm lại
cha_to,Xã Chà Tở,xa,9,21.9897,102.9376,,,,chưa tìm được — hỏi cán bộ xã,2,active,Nậm Khăn + Chà Tở,OSM:ten_moi,OSM tên mới — nên kiểm lại
si_pa_phin,Xã Si Pa Phìn,xa,10,21.8098,102.9202,,,,chưa tìm được — hỏi cán bộ xã,2,active,Phìn Hồ + Si Pa Phìn,OSM:ten_moi,OSM tên mới — nên kiểm lại
na_sang,Xã Na Sang,xa,11,21.7587,103.0905,,21.7471,103.0901,Trường Phổ thông dân tộc nội trú Trung học phổ thông Na Sang,4,active,TT Mường Chà + Ma Thì Hồ + Sa Lông + Na Sang,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_tung,Xã Mường Tùng,xa,12,21.9520,103.0926,,21.8781,103.1330,Trường Trung học cơ sở Huổi Lèng,2,active,Huổi Lèng + Mường Tùng,OSM:ten_moi,OSM tên mới — nên kiểm lại
pa_ham,Xã Pa Ham,xa,13,21.9312,103.2376,,21.7982,103.2937,Đập thủy điện Nậm Mức,2,active,Hừa Ngài + Pa Ham,OSM:ten_moi,OSM tên mới — nên kiểm lại
nam_nen,Xã Nậm Nèn,xa,14,21.8044,103.2258,,21.6547,103.2169,Tỉnh Điện Biên,2,active,Huổi Mí + Nậm Nèn,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_pon,Xã Mường Pồn,xa,15,21.5870,103.0297,,,,chưa tìm được — hỏi cán bộ xã,2,active,Mường Mươn + Mường Pồn,OSM:ten_moi,OSM tên mới — nên kiểm lại
tua_chua,Xã Tủa Chùa,xa,16,21.9710,103.3774,,,,chưa tìm được — hỏi cán bộ xã,3,active,TT Tủa Chùa + Mường Báng + Nà Tòng,OSM:ten_moi,OSM tên mới — nên kiểm lại
sin_chai,Xã Sín Chải,xa,17,22.0538,103.3481,,,,chưa tìm được — hỏi cán bộ xã,3,active,Tả Sìn Thàng + Lao Xả Phình + Sín Chải,OSM:ten_moi,OSM tên mới — nên kiểm lại
sinh_phinh,Xã Sính Phình,xa,18,21.9437,103.3271,,,,chưa tìm được — hỏi cán bộ xã,3,active,Trung Thu + Tả Phìn + Sính Phình,OSM:ten_moi,OSM tên mới — nên kiểm lại
tua_thang,Xã Tủa Thàng,xa,19,22.0324,103.4387,,,,chưa tìm được — hỏi cán bộ xã,2,active,Huổi Só + Tủa Thàng,OSM:ten_moi,OSM tên mới — nên kiểm lại
sang_nhe,Xã Sáng Nhè,xa,20,21.8466,103.4587,,,,chưa tìm được — hỏi cán bộ xã,3,active,Xá Nhè + Mường Đun + Phình Sáng,OSM:ten_moi,OSM tên mới — nên kiểm lại
tuan_giao,Xã Tuần Giáo,xa,21,21.6457,103.3712,,,,chưa tìm được — hỏi cán bộ xã,3,active,TT Tuần Giáo + Quài Cang + Quài Nưa,OSM:ten_moi,OSM tên mới — nên kiểm lại
quai_to,Xã Quài Tở,xa,22,21.5418,103.4569,,,,chưa tìm được — hỏi cán bộ xã,3,active,Tỏa Tình + Tênh Phông + Quài Tở,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_mun,Xã Mường Mùn,xa,23,21.7248,103.3184,,,,chưa tìm được — hỏi cán bộ xã,3,active,Mùn Chung + Pú Xi + Mường Mùn,OSM:ten_moi,OSM tên mới — nên kiểm lại
pu_nhung,Xã Pú Nhung,xa,24,21.7226,103.4901,,,,chưa tìm được — hỏi cán bộ xã,3,active,Rạng Đông + Ta Ma + Pú Nhung,OSM:ten_moi,OSM tên mới — nên kiểm lại
chieng_sinh,Xã Chiềng Sinh,xa,25,21.6100,103.3364,,,,chưa tìm được — hỏi cán bộ xã,4,active,Nà Sáy + Mường Thín + Mường Khong + Chiềng Sinh,OSM:ten_moi,OSM tên mới — nên kiểm lại
muong_ang,Xã Mường Ảng,xa,26,21.5268,103.2595,,,,chưa tìm được — hỏi cán bộ xã,3,active,TT Mường Ảng + Ẳng Nưa + Ẳng Cang,OSM:ten_moi,OSM tên mới — nên kiểm lại
na_tau,Xã Nà Tấu,xa,27,21.5624,103.1443,,21.6547,103.2169,Tỉnh Điện Biên,3,active,Mường Đăng + Ngối Cáy + Nà Tấu,OSM:ten_moi,OSM tên mới — nên kiểm lại
